notation;title;description
1;Hörverstehen und audiovisuelles Verstehen;Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens.;e3cfc5c0-f24b-4f2d-9cf9-497520315455
1.1;in strukturell unkomplizierten Hörtexten zu vertrauten Themen das Thema erfassen und die Hauptaussagen und Einzelinformationen verstehen, wenn in deutlich artikulierter Standardsprache oder in einer vertrauten Varietät gesprochen wird.;;d56623ed-8bab-41a1-a37d-17878fcee882
1.2;auch in längeren Hörtexten Mitteilungen zu konkreten Themen verstehen.;;351599f3-674d-470a-9851-da23936d7a96
1.3;das Thema und die Hauptaussagen von längeren Gesprächen zwischen Anderen verstehen.;;73d6fccc-a926-4e0b-804c-28cd449c3ef1
1.4;Vorträge und Präsentationen verstehen und dabei zwischen Hauptaussagen und unterstützenden Details unterscheiden, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist.;;a595c2cf-658f-4831-a528-2d053611aef6
1.5;bei längeren Hörtexten und audiovisuellen Texten anhand des erfassten Themas Vorhersagen über den weiteren Inhalt treffen und diese während des Hörens anpassen.;;e773960b-cda1-468a-b501-f2aeb2573707
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten zu vertrauten Themen verstehen, wenn relativ langsam und deutlich gesprochen wird.;;58837241-3886-48ff-81b9-6626dbf6c787
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten und audiovisuellen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen und erschließen.;;dc12a029-d4e0-4ed9-89be-167ceec05849
1.8;auf ihnen vertraute (digitale) Werkzeuge bei der Rezeption von Hörtexten und audiovisuellen Texten in der Regel selbstständig zurückgreifen.;;d75466ab-654b-4e05-9a2d-0c16ba8ae1e2
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe an Kommunikationssituationen, in denen die Rezeption schriftlich vermittelter Texte im Mittel punkt steht. Die Anforderungen in den rezeptiven Anteilen solcher Kommunikationssituationen werden durch Merkmale der Texte (z. B. Länge, sprachliche Komplexität, Struktur oder Genre) und durch spezifische Verstehensabsichten (z. B. das Thema erfassen, eine bestimmte Information auffinden) geprägt.;5bae1d85-5d7a-43d4-9c49-6a8a02e83ee9
2.1;strukturell unkomplizierte Korrespondenz zu vertrauten Themen einschließlich der verwendeten Umgangsformen verstehen.;;e5493d94-2006-4db8-95af-22f000c3c136
2.2;in strukturell unkomplizierten Gebrauchstexten wichtige Informationen auffinden und verstehen sowie zum Lösen einer Aufgabe Informationen aus verschiedenen Texten zusammentragen.;;3ae8f7bf-dceb-4c56-a870-a9b3058cc4f6
2.3;klar formulierte Anleitungen, Hinweise oder Vorschriften verstehen.;;932a9191-292a-4690-b14b-8466ba2f2e63
2.4;strukturell unkomplizierte Sachtexten zu vertrauten Themen verstehen und dabei die Hauptaussagen erkennen und Einzelinformationen erfassen.;;a6839cf1-ed68-4ab9-bfc5-69733c702dd6
2.5;in strukturell unkomplizierten literarisch-ästhetischen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen.;;f3ba8562-0f91-42cb-acfc-e6299c314712
2.6;das eigene emotionale Erleben eines strukturell unkomplizierten literarisch-ästhetischen Texts sowie die Eigenschaften und Gefühle einer literarischen Figur erfassen.;;4b3cab45-d3aa-42e9-84a2-e26a9397da7b
2.7;beim Lesen auf ihnen vertraute (digitale) Werkzeuge in der Regel selbstständig zurückgreifen.;;bcb44677-539a-476d-8730-28ae516b1d59
2.8;die Bedeutung unbekannter Wörter in einem Text aus ihren Bestandteilen und dem Kontext ableiten.;;964920c2-0e90-40b7-a6a4-f4aa74c1341c
