notation;title;description
1;Hörverstehen und audiovisuelles Verstehen;Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens.;551e07c4-9c2a-426c-a916-eae75ab80360
1.1;in strukturell unkomplizierten Hörtexten zu vertrauten Themen das Thema erfassen und die Hauptaussagen und Einzelinformationen verstehen, wenn in deutlich artikulierter Standardsprache oder in einer vertrauten Varietät gesprochen wird.;;5b369bf5-0050-4bfd-ae63-f57962fff265
1.2;auch in längeren Hörtexten Mitteilungen zu konkreten Themen verstehen.;;9632d59c-70b2-485e-848c-255eed9e6a92
1.3;das Thema und die Hauptaussagen von längeren Gesprächen zwischen Anderen verstehen.;;f9812c9e-6b49-4775-83d3-81f530076c0b
1.4;Vorträge und Präsentationen verstehen und dabei zwischen Hauptaussagen und unterstützenden Details unterscheiden, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist.;;511538ae-2788-4017-8fd3-b1eb1be10041
1.5;bei längeren Hörtexten und audiovisuellen Texten anhand des erfassten Themas Vorhersagen über den weiteren Inhalt treffen und diese während des Hörens anpassen.;;809c08ef-94c5-4a56-9862-9da39dfe0525
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten zu vertrauten Themen verstehen, wenn relativ langsam und deutlich gesprochen wird.;;959d9982-bf31-4a48-b8c8-d3a425cb5790
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten und audiovisuellen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen und erschließen.;;31d9f784-d662-4af5-bc8c-55e154b36747
1.8;auf ihnen vertraute (digitale) Werkzeuge bei der Rezeption von Hörtexten und audiovisuellen Texten in der Regel selbstständig zurückgreifen.;;c652eff2-2dc4-45a2-9ec5-6e70c087b2f4
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe an Kommunikationssituationen, in denen die Rezeption schriftlich vermittelter Texte im Mittel punkt steht. Die Anforderungen in den rezeptiven Anteilen solcher Kommunikationssituationen werden durch Merkmale der Texte (z. B. Länge, sprachliche Komplexität, Struktur oder Genre) und durch spezifische Verstehensabsichten (z. B. das Thema erfassen, eine bestimmte Information auffinden) geprägt.;4d9f694f-041e-4bcb-b09f-c6c8a26a84f5
2.1;strukturell unkomplizierte Korrespondenz zu vertrauten Themen einschließlich der verwendeten Umgangsformen verstehen.;;732b0ed6-aeac-4499-ad4f-0d9285a62eb1
2.2;in strukturell unkomplizierten Gebrauchstexten wichtige Informationen auffinden und verstehen sowie zum Lösen einer Aufgabe Informationen aus verschiedenen Texten zusammentragen.;;74b070e5-be74-46f1-8fdf-551225f77798
2.3;klar formulierte Anleitungen, Hinweise oder Vorschriften verstehen.;;bd1c001f-a83b-4f17-a1a7-0db30f1ac38c
2.4;strukturell unkomplizierte Sachtexten zu vertrauten Themen verstehen und dabei die Hauptaussagen erkennen und Einzelinformationen erfassen.;;eb391be3-d755-4001-818f-e2e7b1807669
2.5;in strukturell unkomplizierten literarisch-ästhetischen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen.;;64d4017f-81c0-4896-99cd-8fab470e4d3d
2.6;das eigene emotionale Erleben eines strukturell unkomplizierten literarisch-ästhetischen Texts sowie die Eigenschaften und Gefühle einer literarischen Figur erfassen.;;90e0acf3-4f33-4edb-87e4-8166eec777e4
2.7;beim Lesen auf ihnen vertraute (digitale) Werkzeuge in der Regel selbstständig zurückgreifen.;;c6369bff-1bbc-4d95-90d8-498fa9c6fa09
2.8;die Bedeutung unbekannter Wörter in einem Text aus ihren Bestandteilen und dem Kontext ableiten.;;7a59c87f-fba7-4593-8d78-ddcd28a65e87
2.9;mit Hilfe von Hinweisen in Texten und der Aufgabe Vorhersagen über den weiteren Inhalt treffen und diese während des Lesens anpassen.;;d9debf8e-79ca-49ee-8844-5a5f23823a61
2.10;die in einer Sprache/weiteren Sprachen verfügbaren Kenntnisse und erlernten Strategien in der Regel selbstständig aktivieren, um zielsprachige Texte zu verstehen.;;d653b833-bd08-436f-98e0-70728144d595
3;Sprechen;Sprechen ist auf die Produktion mündlicher Texte ausgerichtet. Dabei ist Sprechen stets – selbst in der Form eines Vortrags – ein interaktiver Vorgang, da die Reaktionen eines Publikums u.a. eingeplant, antizipiert, aufgegriffen werden. Im Folgenden wird jedoch unterschieden zwischen mündlicher Interaktion als Form dialogischen Sprechens und mündlicher Produktion als Form monologischen Sprechens, da diese jeweils unterschiedliche Teilkompetenzen und Strategien erfordern. Beide Formen mündlicher Kommunikation umfassen narrative, expositorische und argumentative Genres, die für die Alltagskommunikation der Schülerinnen und Schüler relevant sind. Diese Kommunikation findet sowohl face-to-face als auch im digitalen Raum statt. So sind durch den Einsatz digitaler Medien neue Formen der Mündlichkeit entstanden.;1afdf871-85e9-46de-82c7-2aafc60590d9
3.1;Mündliche Interaktion;;c3ed6a4d-e554-4966-8568-c202845166fa
3.1.1;spontan und flüssig an Gesprächen zu vertrauten und gesellschaftlich relevanten Themen teilnehmen, persönliche Meinungen ausdrücken und Argumente austauschen über Themen, die vertraut sind.;;8b74052b-61e8-45d9-ae79-a9007cc16398
3.1.2;an mündlichen Interaktionsformen teilnehmen, die eine inhaltliche, sprachliche oder strategische Vorbereitung voraussetzen.;;25c06eb1-6eb0-47ff-be96-1348564f3c62
