notation;title;description
1;Hörverstehen und audiovisuelles Verstehen;Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens.;d7257f67-d18f-4ef6-981b-ef25b2891486
1.1;in strukturell unkomplizierten Hörtexten zu vertrauten Themen das Thema erfassen und die Hauptaussagen und Einzelinformationen verstehen, wenn in deutlich artikulierter Standardsprache oder in einer vertrauten Varietät gesprochen wird.;;1ef71d98-8334-4fe8-8617-9086b0d75f52
1.2;auch in längeren Hörtexten Mitteilungen zu konkreten Themen verstehen.;;0290ba31-aeb1-4dfa-8e24-2bd9a613b233
1.3;das Thema und die Hauptaussagen von längeren Gesprächen zwischen Anderen verstehen.;;95c34a58-bc1c-4221-aa19-4bfa49965126
1.4;Vorträge und Präsentationen verstehen und dabei zwischen Hauptaussagen und unterstützenden Details unterscheiden, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist.;;312bd39e-eb24-4a1b-9d07-4cbbeeb89308
1.5;bei längeren Hörtexten und audiovisuellen Texten anhand des erfassten Themas Vorhersagen über den weiteren Inhalt treffen und diese während des Hörens anpassen.;;4643b9db-dea1-49d2-8923-8a0b853d008d
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten zu vertrauten Themen verstehen, wenn relativ langsam und deutlich gesprochen wird.;;0511c509-df86-4001-b4c0-7593d1382583
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten und audiovisuellen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen und erschließen.;;e2bebb55-8501-4f5f-9b2e-ad9dbb11052a
1.8;auf ihnen vertraute (digitale) Werkzeuge bei der Rezeption von Hörtexten und audiovisuellen Texten in der Regel selbstständig zurückgreifen.;;16b98e69-bd82-495b-bd23-4f331331ef6a
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe an Kommunikationssituationen, in denen die Rezeption schriftlich vermittelter Texte im Mittel punkt steht. Die Anforderungen in den rezeptiven Anteilen solcher Kommunikationssituationen werden durch Merkmale der Texte (z. B. Länge, sprachliche Komplexität, Struktur oder Genre) und durch spezifische Verstehensabsichten (z. B. das Thema erfassen, eine bestimmte Information auffinden) geprägt.;1232e999-86c7-4e70-a610-909c591d472d
2.1;strukturell unkomplizierte Korrespondenz zu vertrauten Themen einschließlich der verwendeten Umgangsformen verstehen.;;409bb4d9-e2d7-4d8e-8f83-580359eb8d63
2.2;in strukturell unkomplizierten Gebrauchstexten wichtige Informationen auffinden und verstehen sowie zum Lösen einer Aufgabe Informationen aus verschiedenen Texten zusammentragen.;;4032f042-e896-4b65-8848-56b225ed8ef8
2.3;klar formulierte Anleitungen, Hinweise oder Vorschriften verstehen.;;bdf8316e-1517-45b9-a6a7-ea402c43300a
2.4;strukturell unkomplizierte Sachtexten zu vertrauten Themen verstehen und dabei die Hauptaussagen erkennen und Einzelinformationen erfassen.;;98f307a1-f31f-4d79-a518-d095ef66f318
2.5;in strukturell unkomplizierten literarisch-ästhetischen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen.;;d313fb2a-e24e-4187-8d9b-726bbae5a02e
2.6;das eigene emotionale Erleben eines strukturell unkomplizierten literarisch-ästhetischen Texts sowie die Eigenschaften und Gefühle einer literarischen Figur erfassen.;;81bef887-b440-422f-a97c-64292b980aa0
2.7;beim Lesen auf ihnen vertraute (digitale) Werkzeuge in der Regel selbstständig zurückgreifen.;;7077736e-d293-451b-b509-c433fe13949b
2.8;die Bedeutung unbekannter Wörter in einem Text aus ihren Bestandteilen und dem Kontext ableiten.;;cf9eeed4-7b5e-4b1c-8e9e-f8d7a176be55
2.9;mit Hilfe von Hinweisen in Texten und der Aufgabe Vorhersagen über den weiteren Inhalt treffen und diese während des Lesens anpassen.;;ad5feb42-523e-4967-aaed-dab2f28de7c5
2.10;die in einer Sprache/weiteren Sprachen verfügbaren Kenntnisse und erlernten Strategien in der Regel selbstständig aktivieren, um zielsprachige Texte zu verstehen.;;0c673f37-678c-45b2-a51b-5c1a813222cd
3;Sprechen;Sprechen ist auf die Produktion mündlicher Texte ausgerichtet. Dabei ist Sprechen stets – selbst in der Form eines Vortrags – ein interaktiver Vorgang, da die Reaktionen eines Publikums u.a. eingeplant, antizipiert, aufgegriffen werden. Im Folgenden wird jedoch unterschieden zwischen mündlicher Interaktion als Form dialogischen Sprechens und mündlicher Produktion als Form monologischen Sprechens, da diese jeweils unterschiedliche Teilkompetenzen und Strategien erfordern. Beide Formen mündlicher Kommunikation umfassen narrative, expositorische und argumentative Genres, die für die Alltagskommunikation der Schülerinnen und Schüler relevant sind. Diese Kommunikation findet sowohl face-to-face als auch im digitalen Raum statt. So sind durch den Einsatz digitaler Medien neue Formen der Mündlichkeit entstanden.;2a91bd70-2456-45da-ba87-36f1c634080b
3.1;Mündliche Interaktion;;6d16156a-314b-49a6-8150-ff631c0dc945
3.1.1;spontan und flüssig an Gesprächen zu vertrauten und gesellschaftlich relevanten Themen teilnehmen, persönliche Meinungen ausdrücken und Argumente austauschen über Themen, die vertraut sind.;;02d98385-e6bd-44d3-ae84-b6f6d297eb0f
3.1.2;an mündlichen Interaktionsformen teilnehmen, die eine inhaltliche, sprachliche oder strategische Vorbereitung voraussetzen.;;6e4c90ad-7315-48c5-8ecb-0a7f82fc63e6
3.1.3;ein strukturell unkompliziertes Gespräch auch ohne Vorbereitung unter Berücksichtigung der wichtigsten Höflichkeitskonventionen spontan führen.;;d6214689-28a3-41e5-b94d-0280ce9583be
