notation;title;description
1;Hörverstehen und audiovisuelles Verstehen;Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens.;155295ac-3dc2-11ee-8dfc-484d7ea9e46c
1.1;in strukturell unkomplizierten Hörtexten zu vertrauten Themen das Thema erfassen und die Hauptaussagen und Einzelinformationen verstehen, wenn in deutlich artikulierter Standardsprache oder in einer vertrauten Varietät gesprochen wird.;;155295ad-3dc2-11ee-b107-484d7ea9e46c
1.2;auch in längeren Hörtexten Mitteilungen zu konkreten Themen verstehen.;;155295ae-3dc2-11ee-bbb0-484d7ea9e46c
1.3;das Thema und die Hauptaussagen von längeren Gesprächen zwischen Anderen verstehen.;;155295af-3dc2-11ee-8e04-484d7ea9e46c
1.4;Vorträge und Präsentationen verstehen und dabei zwischen Hauptaussagen und unterstützenden Details unterscheiden, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist.;;155295b0-3dc2-11ee-a2f6-484d7ea9e46c
1.5;bei längeren Hörtexten und audiovisuellen Texten anhand des erfassten Themas Vorhersagen über den weiteren Inhalt treffen und diese während des Hörens anpassen.;;155295b1-3dc2-11ee-be0a-484d7ea9e46c
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten zu vertrauten Themen verstehen, wenn relativ langsam und deutlich gesprochen wird.;;155295b2-3dc2-11ee-8a97-484d7ea9e46c
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten und audiovisuellen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen und erschließen.;;155295b3-3dc2-11ee-9375-484d7ea9e46c
1.8;auf ihnen vertraute (digitale) Werkzeuge bei der Rezeption von Hörtexten und audiovisuellen Texten in der Regel selbstständig zurückgreifen.;;155295b4-3dc2-11ee-890a-484d7ea9e46c
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe an Kommunikationssituationen, in denen die Rezeption schriftlich vermittelter Texte im Mittel punkt steht. Die Anforderungen in den rezeptiven Anteilen solcher Kommunikationssituationen werden durch Merkmale der Texte (z. B. Länge, sprachliche Komplexität, Struktur oder Genre) und durch spezifische Verstehensabsichten (z. B. das Thema erfassen, eine bestimmte Information auffinden) geprägt.;155295b5-3dc2-11ee-8c68-484d7ea9e46c
2.1;strukturell unkomplizierte Korrespondenz zu vertrauten Themen einschließlich der verwendeten Umgangsformen verstehen.;;155295b6-3dc2-11ee-ae16-484d7ea9e46c
2.2;in strukturell unkomplizierten Gebrauchstexten wichtige Informationen auffinden und verstehen sowie zum Lösen einer Aufgabe Informationen aus verschiedenen Texten zusammentragen.;;155295b7-3dc2-11ee-b1e6-484d7ea9e46c
2.3;klar formulierte Anleitungen, Hinweise oder Vorschriften verstehen.;;155295b8-3dc2-11ee-bc3d-484d7ea9e46c
2.4;strukturell unkomplizierte Sachtexten zu vertrauten Themen verstehen und dabei die Hauptaussagen erkennen und Einzelinformationen erfassen.;;155295b9-3dc2-11ee-a3e8-484d7ea9e46c
2.5;in strukturell unkomplizierten literarisch-ästhetischen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen.;;155295ba-3dc2-11ee-abc8-484d7ea9e46c
2.6;das eigene emotionale Erleben eines strukturell unkomplizierten literarisch-ästhetischen Texts sowie die Eigenschaften und Gefühle einer literarischen Figur erfassen.;;155295bb-3dc2-11ee-998f-484d7ea9e46c
