notation;title;description
1;Hörverstehen und audiovisuelles Verstehen;Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens.;155d68cb-3dc2-11ee-94ec-484d7ea9e46c
1.1;in strukturell unkomplizierten Hörtexten zu vertrauten Themen das Thema erfassen und die Hauptaussagen und Einzelinformationen verstehen, wenn in deutlich artikulierter Standardsprache oder in einer vertrauten Varietät gesprochen wird.;;155d68cc-3dc2-11ee-9d5e-484d7ea9e46c
1.2;auch in längeren Hörtexten Mitteilungen zu konkreten Themen verstehen.;;155d68cd-3dc2-11ee-be01-484d7ea9e46c
1.3;das Thema und die Hauptaussagen von längeren Gesprächen zwischen Anderen verstehen.;;155d68ce-3dc2-11ee-abe3-484d7ea9e46c
1.4;Vorträge und Präsentationen verstehen und dabei zwischen Hauptaussagen und unterstützenden Details unterscheiden, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist.;;155d68cf-3dc2-11ee-8816-484d7ea9e46c
1.5;bei längeren Hörtexten und audiovisuellen Texten anhand des erfassten Themas Vorhersagen über den weiteren Inhalt treffen und diese während des Hörens anpassen.;;155d68d0-3dc2-11ee-a19b-484d7ea9e46c
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten zu vertrauten Themen verstehen, wenn relativ langsam und deutlich gesprochen wird.;;155d68d1-3dc2-11ee-a8e0-484d7ea9e46c
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten und audiovisuellen Texten zentrale Themen, Ereignisse, Figuren sowie deren Verbindung zueinander erfassen und erschließen.;;155d68d2-3dc2-11ee-bb61-484d7ea9e46c
1.8;auf ihnen vertraute (digitale) Werkzeuge bei der Rezeption von Hörtexten und audiovisuellen Texten in der Regel selbstständig zurückgreifen.;;155d68d3-3dc2-11ee-93af-484d7ea9e46c
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe an Kommunikationssituationen, in denen die Rezeption schriftlich vermittelter Texte im Mittel punkt steht. Die Anforderungen in den rezeptiven Anteilen solcher Kommunikationssituationen werden durch Merkmale der Texte (z. B. Länge, sprachliche Komplexität, Struktur oder Genre) und durch spezifische Verstehensabsichten (z. B. das Thema erfassen, eine bestimmte Information auffinden) geprägt.;155d68d4-3dc2-11ee-9907-484d7ea9e46c
