notation;title;description
1;Fragestellung;;87d06715-a73e-4796-b708-e02d9d4a1df5
2;Hypothese;;8aff7c9b-5298-4882-bdb2-fd651081b8d2
3;Untersuchungsdesign;;01de8d34-5a1b-4352-975b-e671147e2070
4;Datenauswertung;;98bc554a-5070-48b7-b4a2-ba81779f89d8
5;Funktionalität;;15e5b887-f720-4374-bbb6-c3f544fcf9c0
6;Modellanwendung;;35c18c51-aa22-45f6-93c6-127f432fb011
7;Grenzen;;35b8e01c-4762-4373-aae0-6f61dfe2f2fe
8;Eigenschaften nat.w. Wissens;;5d5edaa2-6aaa-4489-8e8e-00cd76a27b0e
9;Eigenschaften nat.w. Wissens;;e71a14e6-38bf-4913-83eb-659e123284c5
10;Entwicklung nat.w. Wissens;;7059114e-22d7-41d3-bb0c-dead7fc2984b
