notation;title;description
1;BW;;a379d2c2-4000-11ee-868a-484d7ea9e46c
2;BY;;a379d2c3-4000-11ee-8a84-484d7ea9e46c
3;BE;;a379d2c4-4000-11ee-aeab-484d7ea9e46c
4;BB;;a379d2c5-4000-11ee-89dd-484d7ea9e46c
5;HB;;a379d2c6-4000-11ee-91b1-484d7ea9e46c
6;HH;;a379d2c7-4000-11ee-8ba2-484d7ea9e46c
7;HE;;a379d2c8-4000-11ee-9d83-484d7ea9e46c
8;MV;;a379d2c9-4000-11ee-98ab-484d7ea9e46c
9;NI;;a379d2ca-4000-11ee-a580-484d7ea9e46c
10;NW;;a379d2cb-4000-11ee-9697-484d7ea9e46c
11;RP;;a379d2cc-4000-11ee-9889-484d7ea9e46c
12;SL;;a379d2cd-4000-11ee-8ac4-484d7ea9e46c
13;SN;;a379d2ce-4000-11ee-bc66-484d7ea9e46c
14;ST;;a379d2cf-4000-11ee-93b8-484d7ea9e46c
15;SH;;a379d2d0-4000-11ee-b661-484d7ea9e46c
16;TH;;a379d2d1-4000-11ee-ba2c-484d7ea9e46c
17;EU;;a379d2d2-4000-11ee-9cdd-484d7ea9e46c
