notation;title;description
1;eigen-/fremdkulturelle Aspekte;;2fdefb70-a999-41ae-8a70-aae7405e63be
2;Eigenschaften von Personen/Objekten;;25d9c5a2-0613-41c6-9c58-6b9d02100ee7
3;Emotionen/Stimmungen;;e1536cae-6ba5-412d-b12f-3ebf329eff91
4;Handlungsverlauf;;1b19931a-1714-4c80-b760-b7a42aa7bd98
5;Handlungsziele;;f33b28fb-2c7c-4dd3-b6dd-4625bf145431
6;Hauptaussagen;;54aef9fd-8e46-420b-ba99-a7ed11fdf518
7;Meinungen/Haltungen;;dd11275f-5eb8-43ab-863f-bfa550c2b8e9
8;Nebenaussagen;;8d3e1bd1-629a-4bc2-9936-b72fd6346b66
9;spezifische Information;;7a764375-07d6-40b4-96bc-f0a2c7909a10
10;stilistische Variationen/Textstrukturmerkmale;;ba171954-add9-4092-9332-96a14dbab834
11;Textintentionen;;5ecbf882-6c3f-4ca8-a1f1-a6ec27506371
12;Thema/Kernaussage;;00822175-600d-4f28-81be-f624a83a115a
13;Ursachen/Folgen;;4f0c5387-d1ad-4bc6-9ad3-2b9f4be2114c
