notation;title;description
1;E1;;87cdaac3-f7cd-42ad-b33c-11aa2da679d0
2;E2;;3bbe3324-7ff9-43fa-93f9-3269e2eaefa7
3;E3;;a1735ef6-c5bd-4760-a34d-d91c733e658f
4;E4;;c73416a4-d4db-4a13-8861-88d6ff41faed
5;E5;;6b60a10d-b035-40ca-bed9-55ba99787771
6;E6;;bdfe89e7-e849-4408-95f7-d4949664919a
7;E7;;44552a31-92c0-4d22-8a59-a141b9722b4c
8;E8;;077f3e99-3ad1-4e5d-b9b3-ef48e3eea885
9;K1;;d6ae1fe5-78af-4e36-8cb9-93bc4e33cbae
10;K2;;1fd37829-dd3e-428a-9959-b445a89a6298
11;K3;;89d46236-9d72-461a-a2d5-551811ac193f
12;K4;;a1160b78-de91-4f65-97ec-991908293a95
13;K5;;0f5b00d6-3b8f-4966-99b4-cd54980c8a3e
14;K6;;72cff747-1cbe-43fb-bdbb-52c462a41151
15;K7;;08958319-42ab-4825-ac70-e1485c3350d8
16;K8;;82ae797d-81eb-4d48-922f-ebb8f0c546ad
17;K9;;93ee972e-5b40-4094-b0f2-dc855e6e0ab3
18;K10;;b06ffa31-1edf-457a-88f7-4547dbabb7d5
19;B1;;4a57c99a-0a3d-451c-b221-1c7f2ca88136
20;B2;;2b2cf792-c904-4786-be49-f9defda287f8
21;B3;;02a9f37e-0eba-435c-8bd9-6ac3fc7aaec0
22;B4;;656a38c9-2874-4f7e-9734-b6f4ef7d9e2c
23;B5;;b1a76b72-671f-4eb8-8474-faf629214e17
24;B6;;475e67ab-4d2a-4789-b96b-93c94174eec4
25;F1;;42018484-1a1d-4979-b202-07f93a6dd211
26;F1.1;;40710990-505e-4c5a-89ea-c19f300a9bc8
27;F1.2;;707cb224-a456-42b5-a712-6978327bef10
28;F1.3;;4adcb10d-bcc3-4830-ad52-7c4583efa8b4
29;F1.4;;5b5a743a-1cea-4a8d-8f0d-53e2aa2ab4cb
30;F1.5;;4705c5e7-c9a8-42d2-b013-ad240e3760f8
31;F2;;b3ce2017-ac8a-4a42-b4d6-ac762a27a09d
32;F2.1;;d2b93fba-1ce4-457f-bc16-00d0016f287d
33;F2.2;;e3cd0287-720e-453b-87a7-3f7b3b71a1cf
34;F2.3;;2bcfd94f-fcf0-4fd3-96d4-e93c6bf5c6fc
35;F3;;4e949fb9-700a-477e-8a4f-6e08d82edcc8
36;F3.1;;fdfc5ce8-d928-4e9a-9bc0-7b13f06a85e0
37;F3.2;;9dde9464-c2dc-42c0-bb83-2a647f943bf3
38;F3.3;;359c18aa-a460-4f3e-8dc9-57e1c9599e80
39;F3.4;;9403f46c-9742-4473-a64c-24de6a508923
40;F3.5;;9490d2bb-d74a-49ef-92d0-03597004b995
41;F3.6;;79de9219-157e-4dc3-b43a-e46fe55c23c5
42;F3.7;;b9d81eab-8da7-4b45-8655-b01860741ec5
