notation;title;description
1;E1;;bd24dcbf-dbf1-40c3-8027-aebd85f01276
2;E2;;fbb43069-3478-4b1e-8605-7cb6835c8114
3;E3;;c4c5acf1-ac3e-4db7-884f-aed1f9edf81c
4;E4;;4d9b4a95-529c-4443-b75e-a899ff5ffef9
5;E5;;ae7c6d17-ac6b-4c8a-8a21-ef0c72806893
6;E6;;d9b93cac-4e21-4a6d-8ede-40c83215a3bd
7;E7;;f89cf34d-9241-42c7-b3a5-27d27cd2f1e9
8;E8;;9be3f435-881a-407a-925d-cf84f2a03640
9;E9;;1c8d185a-60bd-4275-90a7-9286ee929ca2
10;E10;;5504a813-6743-4590-8396-44ac2f3efd00
11;K1;;04a2defe-d475-4445-8268-5eb1d06ef7a4
12;K2;;5f27fb84-88cc-4677-abd7-f2c463ddc954
13;K3;;583d74be-a8d3-49fa-93c5-d2b3cbff05fc
14;K4;;d65cb0c1-e767-48d8-8f56-6a3f6cdeb91f
15;K5;;3fec1d61-59b8-4d33-a003-387f060535a6
16;K6;;c7388bd4-8ac0-415a-9ea9-2cbde99c19d8
17;K7;;bae24bce-fa1d-4798-ab2d-0a92fd6bbd90
18;B1;;2779e637-9ea2-4998-9354-eea0277d2283
19;B2;;f101e041-1ccf-44ad-9152-9512c178e5fe
20;B3;;63e59cd7-8733-4d9b-bf16-b36242a4c14e
21;B4;;7e035899-083e-44bb-8705-5a55526e7f9d
22;F1;;38b4cc18-23e4-405b-bb75-3781e5fbbdb9
23;F2;;ba5e4361-a4eb-4077-8155-3ed208122526
24;F3;;6f3d61c5-dc68-4ccb-bcb1-bc3424d87643
25;F4;;628a2287-69e4-461f-a3c3-b22d18751f1e
26;F5;;86a15879-a667-420c-8577-558a379a1ea0
