notation;title;description
1;R-1;;a38cef1e-4000-11ee-9b24-484d7ea9e46c
2;R-2;;a38cef1f-4000-11ee-ad59-484d7ea9e46c
3;R-3;;a38cef20-4000-11ee-989f-484d7ea9e46c
4;R-4;;a38cef21-4000-11ee-b1a9-484d7ea9e46c
5;R-5;;a38cef22-4000-11ee-ad2e-484d7ea9e46c
6;R-6;;a38cef23-4000-11ee-9f61-484d7ea9e46c
7;R-7;;a38cef24-4000-11ee-a7c0-484d7ea9e46c
8;L-1;;a38cef25-4000-11ee-b6f6-484d7ea9e46c
9;L-2;;a38cef26-4000-11ee-85b4-484d7ea9e46c
10;L-3;;a38cef27-4000-11ee-bf00-484d7ea9e46c
11;L-4;;a38cef28-4000-11ee-a7cb-484d7ea9e46c
12;L-5;;a38cef29-4000-11ee-bf66-484d7ea9e46c
13;L-6;;a38cef2a-4000-11ee-bf82-484d7ea9e46c
14;L-7;;a38cef2b-4000-11ee-926d-484d7ea9e46c
15;L-8;;a38cef2c-4000-11ee-a373-484d7ea9e46c
