notation;title;description
1;1;;33567615-6028-4796-9952-bc2d82c84876
2;1.01;;184f01da-a4ff-485b-b539-425f7a57c2b2
3;1.01L;;3135f4c7-f67f-4d2d-af83-d317ca95eb08
4;1.02;;6748f4be-519d-4eaf-839c-14d1f5a573f9
5;1.02L;;6fcab721-8e81-4219-92fa-e364a12b35c1
6;1.03h;;36edf20a-a7ae-4bf7-849d-d423e76b69e0
7;1.03L;;1e9a3815-422c-4b07-be12-f7e10e88f4f1
8;1.03m;;bd6a9dc3-08c6-42b9-9bf9-11f2650fd03d
9;1.04;;abc9329e-985c-4cd3-ac00-a04106441953
10;1.04L;;6c90f280-b2d5-41b6-b60d-037ff54a5154
11;1.05h;;eede3b8b-2c7c-43a5-8b55-2dd50dfd5433
12;1.05L;;e6ac0159-31f5-4d10-be50-48e641330e75
13;1.05m;;e7256fc1-efb7-495a-be0f-b6fb8f927d1a
14;1.06h;;9df01130-990f-4bb8-be20-df225b77b63f
15;1.06L;;30d44bbb-2c15-4a36-a671-f597fe57d008
16;1.06m;;e6bade51-4c65-4ae8-a5e6-a344d9c2f158
17;1.07;;c08261bc-ffca-4a2d-9680-053bb30cf469
18;1.07L;;345f6099-54c6-4b57-82bc-a25c6617086e
19;1.08;;9fe888a4-6d5f-47af-87c9-2bc4339e815d
20;1.08L;;b39866aa-c011-422c-a9e0-36e2ddbdadce
21;1.09h;;73114084-5c32-46f5-b579-3c010810104b
22;1.09L;;b842d98c-3218-431b-bc9d-adee6ed03707
23;1.09m;;34f446c5-d4b7-400b-9d07-8e432d2f5cd3
24;1.10h;;97c233ce-70cf-463d-b35b-34aaa305503f
25;1.10L;;730eee09-7044-4bbe-9f00-234e8d1f02e2
26;1.10m;;df91eae6-8e82-43f3-a5bd-ed69e560d18d
27;1.11m;;618a3cec-3a8c-4a5a-878c-11500cef7a27
28;2;;a2ba94a7-30df-4539-884b-7daf6390b91d
29;2.01;;bbfb0fa2-c3b6-4612-a78b-fd117af885eb
30;2.01L;;f192e83a-f459-4eb9-94a7-dddce20a2100
31;2.02h;;2757085f-e205-4968-87cd-6b535a728305
32;2.02L;;e6b6e269-f1a7-48d3-b911-614a904aa1eb
33;2.02m;;93d3f0ea-8d9e-4032-8718-3eeb64c0052a
34;2.03h;;49ea0258-8196-4a8f-bad5-5ac8978281ae
35;2.03L;;13f5ccf0-1e7d-4ddb-a9b3-b6dd495c591d
36;2.03m;;232ea44e-8746-43af-bd08-c57eaab4e894
37;2.04h;;207cb578-a6fd-4ce4-8fa3-8a3593fe0328
38;2.04L;;d7f74b43-566f-4b63-8a03-898664e0a77b
39;2.04m;;5a4962e4-fa19-47c7-9d1c-3f37108977aa
40;2.05h;;031e9fc5-4349-489a-9c94-b23584bf11ff
41;2.05L;;2ccc1d9b-0bfc-49bc-b86b-2920ca9c2c37
42;2.05m;;0ca48bc5-6370-42b4-8054-923fcb27b319
43;2.06h;;e0bf9937-7a8d-42bf-9948-0cfe094636a6
44;2.06L;;cd8f4b7a-f9c1-46b2-bc95-52bfe749bb51
45;2.06m;;2c6fd65f-78e8-4e3c-b91b-be51fccaa02e
46;2.07m;;5b5d6fca-dd02-4588-a329-beab1bbb70e4
47;3;;1d14a47d-adee-445f-bc3c-524aa0115d4e
48;3.01h;;bace3819-2873-4101-a8ee-b0f3e741687a
49;3.01L;;d085d660-be34-4060-a66e-bd554fc73725
50;3.01m;;a6f5ab3b-6bb8-4d8e-8262-e81afafea460
51;3.02;;42491f18-0394-4ba0-a6d6-048a542f0791
52;3.02L;;51084fca-c662-46dd-9913-4bce38bbaf7c
53;3.03h;;d6a1ab9d-ca23-47ce-9edf-6108367258a5
54;3.03L;;40083391-3cc5-4c24-8d0b-5bc8af6ee033
55;3.03m;;f479f3d9-bca2-40f5-b101-cb481bd88859
56;3.04;;8a59b293-ebfa-42c8-a29f-2d28f97488c8
57;3.04L;;474adccf-274c-497b-9aa2-f8d06b34fb6f
58;3.05h;;e54af60a-174f-4e9f-a134-a595ff68ba5b
59;3.05L;;cb275efe-de28-44b3-933f-445a5e3c03e4
60;3.05m;;7474c57f-1546-4da8-8390-0a896f31f58e
61;3.06h;;9b55211b-8744-4532-8e03-75d039b0be8b
62;3.06L;;d1db2268-684d-4ac7-9f18-c5f51ee44ab0
63;3.06m;;ba34cb12-1e8c-4147-846f-ec62f7ba77ff
64;3.07h;;1ced3708-04d4-4996-bc56-5395fc62e769
65;3.07L;;b02b6384-d7b3-4b4d-9ebd-1f4cf1704ded
66;3.07m;;93bc3e09-d488-4efc-829f-82860ea01592
67;3.08;;6a419b1a-7d91-49b2-806a-8a753cd6ba44
68;3.08L;;72e5c5e4-ec54-410b-8b0c-2fbf034034b0
69;3.09m;;42055956-cd8d-4ca1-9199-f1e84cd49c76
70;3.10m;;cee06dbb-28ce-4838-a20b-a1e1540e9260
71;4;;fcb92cd3-9272-439d-8dc8-ae0787015db5
72;4.01h;;cce8ed53-2896-4ac3-9127-f844e3a860aa
73;4.01L;;a6cfedce-5d5f-4cd5-9e44-17671e2900a4
74;4.01m;;c9066924-a219-4990-82a7-85481c4af857
75;4.02h;;517870e9-0235-418a-bba6-d4e59adc657a
76;4.02L;;82db4c14-883f-4021-9ef7-74541df9fa6d
77;4.02m;;3781e801-d61b-4678-a636-8522930cf6e8
78;4.03h;;b833cb23-fa3d-4780-ae3d-24ffedd6a376
79;4.03L;;3c8e1b29-3534-494b-bbbb-fa3c28d8e987
80;4.03m;;e151aab4-4880-423c-b656-03e521c2d233
81;4.04h;;6819ef2a-e9dc-4012-9b6e-928f494a10cf
82;4.04L;;0af08cfd-83e8-4a9f-a993-479dce891991
83;4.04m;;6af76c70-f46d-4874-b7b1-5b2fdd06f8fd
84;4.05h;;480b210f-5837-48c1-86bd-d9d98785f267
85;4.05L;;fc2c1311-b0bc-496b-97aa-42dbf704ab47
86;4.06m;;cb304fa8-0b30-49cb-a403-8a977d60be54
87;4.07h;;9815c261-b6be-44fe-a744-d834b10064fb
88;4.07L;;ed2695cb-126b-4dc1-a69f-5746895779e7
89;4.07m;;ebec84e3-9967-477d-a4ee-1df11841fdd3
90;4.08h;;4a7eba04-de73-48a7-8c86-d66b43eda31f
91;4.08L;;9130bc58-f64c-4e3a-88db-a4409511e1af
92;4.08m;;cff2c11e-b79d-4a13-8ce5-720f2685dc11
93;4.09m;;8cbaa697-1f71-47cb-9917-8468ad83bd4f
94;4.10m;;45486bee-d892-4591-8bd3-f0b4b8809526
95;4.11m;;3e43e94a-ac2b-45ca-8708-5488fb584705
96;4.12m;;b250a218-6c56-426a-890b-e54a509cde91
97;4.13m;;6f222589-0a90-4558-a462-5886cf707d35
98;5;;095b646c-0f85-4168-becf-82fad36b195e
99;5.01;;fa302bbb-1e3a-44ef-80bb-82a034d7e57f
100;5.01L;;702b13b2-f0a0-4021-8521-c3b4450c9d88
101;5.02m;;96b30f5f-b8d7-4ff0-9870-5429adaaa52e
102;5.03;;20db3c78-d7bf-423f-a3ce-13c5b0f985a8
103;5.03L;;6b82a502-53de-4cf5-bf09-2bc5375c03f0
104;5.04h;;245fff60-3f23-41b0-ad32-62857b8b8930
105;5.04L;;f4024597-9f63-43a9-95ea-6095ff1e599b
106;5.04m;;aa377685-e52f-420a-a555-2bf3029d879a
107;5.05h;;7c4b2ca1-74d2-4126-8691-54abedeef3aa
108;5.05L;;20287f3c-7e3b-435b-a4af-c0290dba4c2a
109;5.05m;;aa798adb-c0dd-49d4-b6c4-74c5593f6d06
110;5.06h;;8e3f8806-b0dc-43d4-957a-e9e7e283ba5d
111;5.06L;;5ed49ebc-9087-4736-bba3-c0ef43a93e60
112;5.06m;;59ba218a-5d31-42c9-81d1-52c5f438e447
113;5.07h;;73169297-c07a-4ec8-b095-ed0d8bd3a4a0
114;5.07L;;05930947-4ab8-4972-93bb-7ccc731ca923
115;5.07m;;da8dab81-75f9-442d-ba76-68d2e1f969be
