notation;title;description
1;offen;;a3515612-4000-11ee-a0ee-484d7ea9e46c
2;angefragt;;a3515613-4000-11ee-a5de-484d7ea9e46c
3;in Verhandlung;;a3515614-4000-11ee-bdbc-484d7ea9e46c
4;öffentliches Gut beschränkt;;a3515615-4000-11ee-83bb-484d7ea9e46c
5;öffentliches Gut unbeschränkt;;a3515616-4000-11ee-a3c5-484d7ea9e46c
6;Quelle ungeklärt;;a3515617-4000-11ee-9316-484d7ea9e46c
7;Recht beschränkt erteilt;;a3515618-4000-11ee-8dd2-484d7ea9e46c
8;Recht liegt am IQB;;a3515619-4000-11ee-818d-484d7ea9e46c
9;Recht nicht erteilt;;a351561a-4000-11ee-a03a-484d7ea9e46c
10;Recht unbeschränkt erteilt;;a351561b-4000-11ee-a298-484d7ea9e46c
11;Rechteinhaber ungeklärt;;a351561c-4000-11ee-a6e5-484d7ea9e46c
12;zurückgezogen;;a351561d-4000-11ee-957e-484d7ea9e46c
