notation;title;description
1;native British;;0999eb9e-53ab-4786-9bab-ebb88bdbd2fd
2;native American;;5f7923c9-fa09-4cd6-b3e6-f14878f6984a
3;native Irish;;52e45349-008f-45f5-97c8-6929e3ba25d7
4;native Australian;;948a6ee1-f9a8-4150-886b-aa8f443c807f
5;other native;;7ab85a0d-da0a-4551-8568-9fa9ad80b4c9
6;non-native;;8788a34d-ae1c-41bc-bb4d-84c9f9679003
7;native;;2aa6605d-abae-468e-a22a-160b9959a2fe
8;african;;41386ea4-f5a7-438b-b4d9-a910e9f51735
9;native Indian;;02e3fc9f-2c4b-44be-b581-41244d1364fe
10;european;;4ac65e86-a0a6-49eb-a0a4-9d0e233c04c5
11;canadian;;f12b734c-6f24-4877-8f45-0c672ad14028
12;overseas;;3099108c-bc4c-44a9-80d6-c33859d10c9b
