notation;title;description
1;Bio: System;;a39e902a-4000-11ee-b890-484d7ea9e46c
2;Bio: Struktur+F.;;a39eb73a-4000-11ee-941d-484d7ea9e46c
3;Bio: Entwicklung;;a39eb73b-4000-11ee-88d6-484d7ea9e46c
4;Ch: Stoff/Teilchen;;a39eb73c-4000-11ee-8913-484d7ea9e46c
5;Ch: Struktur/Eig.;;a39eb73d-4000-11ee-ae2b-484d7ea9e46c
6;Ch: chemische R.;;a39eb73e-4000-11ee-9d70-484d7ea9e46c
7;Ph: Materie;;a39eb73f-4000-11ee-a3c4-484d7ea9e46c
8;Ph: Wechselw.;;a39eb740-4000-11ee-a38e-484d7ea9e46c
9;Ph: System;;a39eb741-4000-11ee-b142-484d7ea9e46c
10;Ph: Energie;;a39eb742-4000-11ee-9000-484d7ea9e46c
