notation;title;description
1;Abbildungen;;ca2c03d1-5bb0-45c6-bc41-b56be2a3ae95
2;Überschriften;;9fba27a3-e1d8-4a4d-8bf7-61613bad50ac
3;Grafische Darstellung/Tabelle;;acf606d3-08cc-4e4d-8494-a34342f2277f
4;Gliederungspunkte;;f1840aa5-3be9-4b38-9ee4-dd7e9aa2ae7f
5;Literarischer Text;;f9030d23-3937-4d1f-8804-1293e8f78942
6;Dramatischer Text;;5f5f221b-2bef-4e0d-837c-5261ab5663d1
7;Lyrischer Text;;72cf7308-a22b-43c8-908b-40324f6192e6
8;Prosaischer/erzählender Text;;8d00f0c2-6595-48fd-88c9-6b57a19f12f7
9;Sachtext;;3ffdfc77-7479-48d1-92b6-b854a8286646
10;Sachtext kontinuierlich;;77f33de4-6190-4ede-8e2e-c4a958da21dd
11;Sachtext tlw. diskontinuierlich;;c5fb7cb2-866e-4fa4-b1eb-19d8d6adde15
12;Sachtext diskontinuierlich;;8ecd9feb-74dc-4123-939a-d99504bb3d76
13;Audiosequenz: monologisch;;8e611318-272e-41a3-bf73-1a0198afd53d
14;Audiosequenz: dialogisch;;cdcbfbba-0017-4f7f-ba22-168b3e2dec6f
15;Textauszug/-fragment;;111e8561-d0f6-4059-95d2-49618da48071
16;isoliertes Satzmaterial;;ddb4c8d2-75eb-4fa2-81dc-065503808b41
17;isoliertes Wortmaterial;;e87da1c1-0d94-45c1-a1f8-e2ce6fd2bb9a
