notation;title;description
1;Brief;;09356e86-1b66-42e9-bbb1-f97ea6dc1fec
2;Broschüre/Flyer;;4432f3e1-0b34-4b54-8fbb-4fe0a1907a56
3;Fabel;;9e87552e-2791-4bbb-9d36-d8a4b7426fe3
4;Fahrplan;;7ce2ffad-57e2-440e-8b8a-31367546d4f5
5;Interview;;4e0b4418-4341-44ea-9419-64056f77ad04
6;Karte;;d64032d9-f2e5-45e2-bd22-47458f0e7ed6
7;Kurzgeschichte;;973c7a6c-b55e-48f2-80dc-5f2059d4aecd
8;Lexikon/Sachbuchtext;;deb7c6ab-e837-4caa-9eee-4caa4721fa76
9;Märchen;;43619ac5-6c9f-4d6f-999d-ce506d04673c
10;Phantastische Geschichte;;cf6eb4af-ac16-4ee5-9291-d8284f1fb25b
11;Wissenssendung (Radio);;80007b55-4a95-4f67-b353-e7450dbae8cc
12;sonstige;;1ceed3d2-9242-4a82-b760-deb2c8ae201b
