notation;title;description
1;Alltagserzählung;;dc7efd73-a88c-4612-826e-e73ac042a167
2;Alltagsgespräch;;e008189c-391a-40f2-88f7-e8f0ec17f063
3;Anzeige;;81e33245-1411-4310-8490-860ed43d28b0
4;Audiotour;;3f31b286-6d37-4a3f-b4d6-48928b7e1a0f
5;Aushang;;54507355-f8d2-42c7-aad6-016e1767d419
6;Bedienungsanleitung;;adadbd18-cb5e-4ba5-a05b-a62f97ec6942
7;Belehrung;;b47a8804-5c25-4d5d-bb1d-54cf1172d82a
8;Bestimmung;;19318388-cb57-42d8-b882-4b90d5f699e1
9;Broschüre;;dec56bf6-2058-4164-8c1e-0342f7617b3c
10;Buchbesprechung;;4c1808b6-c219-4755-8174-40624cd339b0
11;CD-Besprechung;;8c664624-7b08-4306-b1ba-c7f8d72b050b
12;CD-Cover;;38d6975b-e1ae-438a-8dcb-66660cb38cfc
13;Comic;;0d2980f6-7ff0-41d6-8ac4-4e5efcdc4912
14;Debatte;;627f8792-0b0f-4ef3-9ed7-f67f90c28c33
15;Diagramm;;11dd3b02-9e33-40d4-a922-423a0aeffac4
16;Dienstleistungsgespräch;;e376a895-f4d8-48d0-803c-ec3c2fce6948
17;Diskussion;;f98f4cdb-7f6b-48c1-b96a-cf7a3ce313b6
18;Durchsagen;;0966336d-7156-4464-b433-3773e054f13c
19;Einkaufszettel;;d416f3f6-1b43-44c0-aeda-c49a757d8907
20;Eintrittskarte;;0954f53d-9d78-40e4-a11d-09df0f2d94be
21;E-Mail;;3a0d54c2-ee76-4083-ae34-703459883771
22;Erklärung eines Phänomens;;fe46fc5f-b57e-4790-8e55-c9658fca5f6c
23;Etikett;;018e625a-c99d-4b42-887f-f61da87fd48e
24;Fahrkarte;;1a4365a6-8665-4fe4-b1ab-a4294bf3b026
25;Fahrplan;;45f5c70b-20c9-4a86-9cfb-3bcf92a07b7c
26;Filmbesprechung;;720ed36a-f330-424f-ac41-aa8f9fcbe94a
27;Flyer;;a488b530-95a8-48f2-87ba-caa01c92417a
28;Formular;;19588d59-fb3c-423c-a8c3-80dd6c9c53b2
29;Gedicht;;cbfbadab-ee8e-42a4-a6e5-398d0ffa49a0
30;Geschäftsbrief;;545f2e45-cf25-4635-b3f5-40853f544ee8
31;Glosse;;48308e8e-0ae0-4445-a636-6d80d879f52d
32;Grafik;;31548424-f25c-4e6e-9f26-5394f533f594
33;Homepage;;9518e88e-73a6-4f9c-90aa-2db1553586f2
34;Hörbuch;;30c6ae18-e9bf-4def-a83f-52cf78173da4
35;Interview;;338df8fa-a252-48a2-b095-3d4c149ecd2b
36;Jugendbuchauszug;;9df31a53-9548-48eb-b350-7737b36783d1
37;Karikatur;;ef0e69ea-e75b-4544-951c-50232a3daa7e
38;Klappentext;;8f968e20-94ce-423a-a68f-949bdd4465ca
39;Kochrezept;;80a1d501-f74a-40fc-adc6-6a6bd71cff8e
40;Komödie;;b98b1357-34d5-4f4e-ab7b-e8a7d43b5836
41;Kurzgeschichte;;896c4487-14ac-41a8-b3c8-1cd745b4ab1c
42;Legende;;17e207ac-bf6d-4b29-a1cf-a6d61d135816
43;Leserbrief;;075b5e04-ab5d-48f8-9070-9392177db7b9
44;Lexikoneintrag;;345aa06c-02fa-46f7-b85c-ab26f8ec8198
