notation;title;description
1;Schulalltag;;b12525d0-6f92-4360-88af-6e04befa901a
2;Familienalltag;;a25d7170-bd18-45fb-be09-8d9cdabaf744
3;Wohnen und Umwelt;;38ca8846-0159-4961-9fa6-4b0c641f0ff8
4;Essen und Trinken;;efbe9676-1394-417b-91c4-5d30179bf235
5;Einkaufen, Kleidung, Konsum;;232a94b6-8207-4ddf-8f06-4ae276c99fad
6;Dienstleistungen: Arztbesuch, Behörden, Bank u.ä.;;f8e2a317-365d-4687-84c8-1ce00235ac13
7;Freizeit und Sport;;04f354e6-248a-45c8-bde4-d9620dc045fe
8;Haustiere, Tiere;;5bd7cc25-f43c-4a1c-a244-c015a3314354
9;Wetter;;321d0463-03fd-404c-97be-43ed1a5c3c29
10;Verkehrsmittel;;fe6e0ada-304b-4f78-88eb-c2c9b0316a9d
11;Zwischenmenschliche Beziehungen: Liebe, Freundschaft, Familie;;1d450b75-818f-4d43-832b-e1e17cd41cf7
12;Identität;;539ff74a-ca88-4c36-b2be-9bd6d99314be
13;Erziehung;;0739f3be-2895-408b-bee2-1240045be1ad
14;Kommunikation;;dff83f62-bbd9-49f7-a7df-f0ad8c2d1376
15;Schule und Unterricht;;df32b765-f443-4cb7-8fd0-743029c27d5a
16;Ausbildung;;14ca3ed3-307c-4e80-ae74-30b3cd0b2ea9
17;Berufe;;c3a55381-959e-471c-ad83-ddccc16916e0
18;Sprache und Sprachenlernen;;909baa7a-62eb-4836-a78c-8470252f3c85
19;Regionale Identität;;a803c634-0437-42bd-95ae-fa2a64fab73e
20;Geografische Gegebenheiten;;94725b88-de35-4db0-a8b4-e9db3ae1ca99
21;Reisen, Tourismus;;1d82ee8b-2913-42cf-b31b-6274cf288937
22;Politik und Wirtschaft;;50ed138c-989c-482f-af85-b2a02f301b62
23;Geschichte, Philosophie, Religion;;0a307571-d0da-4df2-b209-aaa6a31990af
24;Globale Herausforderungen;;6f49dc85-4934-407c-8e98-6c0cd7ca8541
25;Menschenrechte, moralische Verantwortung;;1479825f-dce8-4092-ab22-b757bc79bebf
26;Natur, Wissenschaft und Technik;;7843c629-66b8-436f-8b47-f68ef032b59e
27;Bildende Kunst;;ddcd0f7e-55a2-46a6-ad92-ebf2520e4553
28;Darstellende Kunst;;325a7b5e-f38b-4d89-bdda-1ad39a022ca8
29;Literatur;;0bb2ae2a-7044-48ef-8dda-19af4bec79e7
30;Musik;;0e349818-fd93-4350-bcfa-d5be90ab1d48
31;Architektur und Design;;174529b0-a614-47ea-9d02-931c238f5431
32;Presse, Rundfunk, Fernsehen;;5ab6b6cb-1ccd-497f-80cf-817fe94dc8cc
33;elektronische Medien;;1dc16e11-35fa-4117-a3b0-57d3038e5753
