notation;title;description
1;Alltagserzählung;
2;Alltagsgespräch;
3;Anzeige;
4;Audiotour;
5;Aushang;
6;Bedienungsanleitung;
7;Belehrung;
8;Bestimmung;
9;Broschüre;
10;Buchbesprechung;
11;CD-Besprechung;
12;CD-Cover;
13;Comic;
14;Debatte;
15;Diagramm;
16;Dienstleistungsgespräch;
17;Diskussion;
18;Durchsagen;
19;Einkaufszettel;
20;Eintrittskarte;
21;E-Mail;
22;Erklärung eines Phänomens;
23;Etikett;
24;Fahrkarte;
25;Fahrplan;
26;Filmbesprechung;
27;Flyer;
28;Formular;
29;Gedicht;
30;Geschäftsbrief;
31;Glosse;
32;Grafik;
33;Homepage;
34;Hörbuch;
35;Interview;
36;Jugendbuchauszug;
37;Karikatur;
38;Klappentext;
39;Kochrezept;
40;Komödie;
41;Kurzgeschichte;
42;Legende;
43;Leserbrief;
44;Lexikoneintrag;
45;Lied;
46;Liedtext;
47;Märchen;
48;Meinungsumfrage;
49;Mini-Saga;
50;Nachricht auf Anrufbeantworter;
51;Nachschlagewerk (Auszug);
52;Notiz;
53;Packzettel;
54;persönlicher Brief;
55;Poster;
56;Postkarte;
57;Programm;
58;Programmheft;
59;Rede;
60;Reisebericht;
61;Reisetagebuch;
62;Romanauszug;
63;Sage;
64;Schild;
65;Sketch;
66;SMS;
67;Speisekarte;
68;Spielanleitung;
69;Sportbericht;
70;Sportkommentar;
71;Tagebucheintrag;
72;Talk;
73;Telefonbucheintrag;
74;Telefongespräch;
75;Tragödie;
76;Unfallbericht;
77;Vertrag;
78;Visitenkarte;
79;Vortrag;
80;Wegbeschreibung;
81;Werbematerial;
82;Werbetext;
83;Wetterbericht;
84;Zeitungsmeldung;
85;Anweisungen;
86;Ansagen/Auskünfte/Durchsagen;
87;Nachrichten;
88;Berichte;
89;Gespräch/Dialog;
90;Führung/Besichtigung;
91;Kommentar;
92;Reportage;
