notation;title;description
1;Schulalltag;
2;Familienalltag;
3;Wohnen und Umwelt;
4;Essen und Trinken;
5;Einkaufen, Kleidung, Konsum;
6;Dienstleistungen: Arztbesuch, Behörden, Bank u.ä.;
7;Freizeit und Sport;
8;Haustiere, Tiere;
9;Wetter;
10;Verkehrsmittel;
11;Zwischenmenschliche Beziehungen: Liebe, Freundschaft, Familie;
12;Identität;
13;Erziehung;
14;Kommunikation;
15;Schule und Unterricht;
16;Ausbildung;
17;Berufe;
18;Sprache und Sprachenlernen;
19;Regionale Identität;
20;Geografische Gegebenheiten;
21;Reisen, Tourismus;
22;Politik und Wirtschaft;
23;Geschichte, Philosophie, Religion;
24;Globale Herausforderungen;
25;Menschenrechte, moralische Verantwortung;
26;Natur, Wissenschaft und Technik;
27;Bildende Kunst;
28;Darstellende Kunst;
29;Literatur;
30;Musik;
31;Architektur und Design;
32;Presse, Rundfunk, Fernsehen;
33;elektronische Medien;
